unique_id,Date,Prix
arnoglosse,2017-05-07,0.1794736001479576
arnoglosse,2017-05-14,0.17272515264542837
arnoglosse,2017-05-21,0.1697509853890367
arnoglosse,2017-05-28,0.1561722829569956
arnoglosse,2017-06-04,0.17940396116869667
arnoglosse,2017-06-11,0.16420371996710964
arnoglosse,2017-06-18,0.13503675057046377
arnoglosse,2017-06-25,0.1643030531325854
arnoglosse,2017-07-02,0.1412521004649257
arnoglosse,2017-07-09,0.12672186207932054
arnoglosse,2017-07-16,0.13731384666216553
arnoglosse,2017-07-23,0.12234963560691912
arnoglosse,2017-07-30,0.1304269112164826
arnoglosse,2017-08-06,0.1303490144148135
arnoglosse,2017-08-13,0.12879158194066995
arnoglosse,2017-08-20,0.12420396587912552
arnoglosse,2017-08-27,0.12206320294079136
